Unnamed: 0,EG00023TCH,CL00010TCH,CL00016TCH,CL00031TCH,CL00032TCH,CL00006TCH,CL00011TCH,CL00020TCH,CL00021TCH,CL00028TCH,CL00034TCH,CL00036TCH,CL00140TCH,CB00008TCH,CB00051TCH,CL00143TCH,CL00142TCH,CB00075TCH,CL00144TCH,CL00145TCH,CB00082TCH,CB00086TCH,CB00087TCH,CB00095TCH,CB00102TCH,CB00106TCH,CB00113TCH,CB00114TCH,CB00111TCH,CB00112TCH,CB00128TCH,CB00130TCH,CB00131TCH,CB00132TCH,CB00134TCH,CB00133TCH,CB00135TCH,CB00136TCH,CB00138TCH,CB00140TCH,CB00141TCH,CB00142TCH,CB00143TCH,CB00144TCH,CB00145TCH,CB00146TCH,CB00147TCH,CB00148TCH,CB00149TCH,CB00150TCH,CB00151TCH,CL00139TCH
VERSION DE DECLARACION,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
01/01/2024 05:00,-0.225197372,0.1385395597,0.3693711579,0.73302248,0.3806384491,0.0054629116,0.1166915536,0,0.0184348009,0.0624784042,3.2318e-05,0.1469544129,0.0427887685,1.50105,0.07034244,0.0029837409,0.028067579,0.2157990949,0.1008635689,0,0.0296465391,0.337970546,0.001080555,0,0.0127258506,0.3261119304,0,0,0,0,0.0507453458,0.0485459668,0.187314922,0.0452804,0,3.375,0,0,0,0.0430475,0.02554475,0.0112,0.0336,6.1503144855,0.1049687359,0.1852908695,0.8893961738,0.1778792348,0.0889396174,0.035614242,0.1927025043,0.0011773627
01/01/2024 05:15,-0.238312561,0.1387508393,0.3717812001,0.7468339638,0.3816653841,0.005351604,0.1160902802,0,0.0180695348,0.059839276,3.22553e-05,0.1433643455,0.0433309585,1.50105,0.07085514,0.0010629808,0.0291484904,0.2174862844,0.1048395739,0,0.0299163271,0.3410461287,0.001080555,0,0.0126080187,0.3290795979,0,0,0,0,0.0572096432,0.0468845045,0.187314922,0.04394257,0,3.375,0,0,0,0.0441155,0.02603095,0.0121,0.0363,6.2586733053,0.1012753285,0.1869770442,0.8974898123,0.1794979625,0.0897489812,0.032195772,0.194456126,0.0011858739
01/01/2024 05:30,-0.267137482,0.1384107086,0.3774531367,0.7605955803,0.3867985263,0.0047918325,0.1153275383,0,0.0173147729,0.0568093889,3.22092e-05,0.1391946145,0.0442945048,1.50105,0.07270086,0.0055374988,0.0297769658,0.2130403136,0.1082105294,0,0.0295792905,0.337203912,0.0010548275,0,0.0124312707,0.3253721958,0,0,0,0,0.0616254946,0.04584274,0.1847268056,0.046463865,0,3.375,0,0,0,0.0461425,0.02622785,0.01205,0.03615,6.2354613864,0.0991272621,0.1848705658,0.8873787159,0.1774757432,0.0887378716,0.031853925,0.1922653884,0.0011786674
01/01/2024 05:45,-0.262804047,0.1426050123,0.3811195631,0.7742148433,0.3956415753,0.0045529413,0.118746655,0,0.0170615738,0.0556359756,3.227e-05,0.1487412653,0.0449617375,1.50105,0.07362372,0.0021264241,0.031813379,0.2108315392,0.1097477343,0,0.0299040779,0.3409064877,0.0011062825,0,0.0120777749,0.3289448565,0,0,0,0,0.0611091739,0.0508663668,0.1549634674,0.045640585,0,3.375,0,0,0,0.0436995,0.0262207,0.0117,0.0351,6.2017725967,0.105075131,0.1869004867,0.897122336,0.1794244672,0.0897122336,0.026011449,0.1943765061,0.001202719
01/01/2024 06:00,-0.262446014,0.144721501,0.3837614441,0.788975528,0.3979279114,0.0045187816,0.123502242,0,0.0178351986,0.0568876327,3.04502e-05,0.1635451628,0.045405856,1.50105,0.05834526,0,0.0325100615,0.2075000447,0.1158847517,0,0.0306132585,0.3489911466,0.001080555,0,0.0121366909,0.3367458432,0,0,0,0,0.0673209232,0.0506720782,0.1326409637,0.04641241,0,3.375,0,0,0,0.0450205,0.0272107,0.0126,0.0378,6.3049325007,0.0884405278,0.1913328655,0.9183977543,0.1836795509,0.0918397754,0.025576371,0.1989861801,0.0011865417
01/01/2024 06:15,-0.270888885,0.1428498118,0.3911743372,0.8146068476,0.4033877621,0.0045599552,0.1283416741,0,0.0187346356,0.0580818756,2.64058e-05,0.1791979465,0.0459969662,1.50105,0.04634808,0.0036573845,0.0333181168,0.1981382119,0.1190624066,0,0.0328336318,0.374303403,0.0010548275,0,0.0124312707,0.3611699502,0,0,0,0,0.0771796552,0.0515367108,0.1284352746,0.048933705,0,3.375,0,0,0,0.0408305,0.0241186,0.01185,0.03555,6.2634602811,0.1046297279,0.205210199,0.9850089552,0.197001791,0.0985008955,0.012368646,0.213418607,0.0012014143
01/01/2024 06:30,-0.272910583,0.1418425337,0.3919165986,0.8394367095,0.4183904238,0.004720942,0.1317151333,0,0.0188037815,0.0609916651,2.72994e-05,0.1994760177,0.0465975665,1.50105,0.05137254,0.0025097109,0.0377251891,0.1975873099,0.1249992836,0,0.0335222518,0.3821536704,0.001080555,0,0.0121956068,0.3687447697,0,0,0,0,0.0755483811,0.0504016861,0.1297293328,0.05083754,0,3.375,0,0,0,0.039636,0.02159245,0.0115,0.0345,6.1775993857,0.1032788603,0.2095140737,1.0056675536,0.2011335107,0.1005667554,0.029678535,0.2178946366,0.0011506727
01/01/2024 06:45,-0.27017688,0.1338625603,0.3769450528,0.7895444796,0.4045847187,0.0048478719,0.1334984392,0,0.0194939619,0.062302527,2.73575e-05,0.2113340648,0.0452738436,1.50105,0.05424366,0,0.0284760351,0.1817016622,0.0946367462,0,0.0337305039,0.3845277439,0.001080555,0,0.0116653631,0.3710355424,0,0,0,0,0.0748178621,0.0383005463,0.1365231383,0.04476585,0,3.375,0,0,0,0.039032,0.0235653,0.01295,0.03885,6.0395357706,0.1012702111,0.2108156491,1.0119151156,0.2023830231,0.1011915116,0.031294539,0.219248275,0.0008953679
01/01/2024 07:00,-0.272078613,0.1304716093,0.371426433,0.8123993772,0.4222587375,0.0049769583,0.1337023192,0,0.0207249192,0.0639121047,2.73628e-05,0.2149564351,0.0456326582,1.50105,0.05444874,0.0038026713,0.0299183655,0.2338923393,0.0997990187,0,0.0352674911,0.4020493988,0.0011062825,0,0.0115475311,0.3879424024,0,0,0,0,0.0821006028,0.0376767063,0.1355525946,0.045949315,0,3.375,0,0,0,0.0350745,0.02167935,0.01135,0.03405,6.0546194676,0.1042453572,0.2204218195,1.0580247337,0.2116049467,0.1058024734,0.021909285,0.2292386923,0.0007858743
01/01/2024 07:15,-0.270578735,0.1362011101,0.3952658651,0.850450923,0.4232811889,0.004993897,0.1326188333,0,0.0208760629,0.0655888545,2.73473e-05,0.2156849393,0.0473728243,1.50105,0.05526906,0.0005465525,0.0307806355,0.2057078662,0.1072527336,0,0.037482845,0.4273044331,0.001080555,0,0.0121366909,0.4123112951,0,0,0,0,0.0900259382,0.0391281973,0.1342585365,0.055519945,0,3.375,0,0,0,0.036718,0.0232353,0.01265,0.03795,6.1843062592,0.0979369931,0.2342677813,1.1244853503,0.2248970701,0.112448535,0.024799446,0.2436384926,0.0008200278
