,EMPRESA,BARRA TRANSFERENCIA,CODIGO,ENTREGA/RETIRO,CENTRAL/CLIENTE
3568,FENIX POWER PERÚ,CARAPONGO 220,CB00365FPP,Retiro,SOLPACK SOCIEDAD ANONIMA CERRADA - SOLPACK S.A.C.
3569,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00369FPP,Retiro,TUBOS Y PERFILES METALICOS SA
3570,FENIX POWER PERÚ,SAN JUAN 220,CB00370FPP,Retiro,UNIONPLAST S A
3571,FENIX POWER PERÚ,SAN JUAN 220,CB00372FPP,Retiro,UPC
3572,FENIX POWER PERÚ,INDUSTRIALES 220,CB00371FPP,Retiro,UPC
3573,FENIX POWER PERÚ,SAN JUAN 220,CB00374FPP,Retiro,VIJOGAS S.A.C.
3574,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00375FPP,Retiro,VITA PHARMA S.A.C
3575,FENIX POWER PERÚ,PLANICIE220,CB00298FPP,Retiro,WESTPHALIA ALIMENTOS SOCIEDAD ANONIMA CERRADA - WE
3576,FENIX POWER PERÚ,OROYA NUEVA 50,CB00285FPP,Retiro,COMPAÑIA MINERA ARGENTUM S.A.
3577,FENIX POWER PERÚ,MARCONA 220,CB00366FPP,Retiro,SOUTH AMERICA MINING INVESTMENTS S.A.C
3578,FENIX POWER PERÚ,PIURA OESTE 220,CB00349FPP,Retiro,PESQUERA HERMANOS CORDOVA S.A.C.
3579,FENIX POWER PERÚ,CHICLAYO 220,CB00283FPP,Retiro,COMPAÑIA ARROCERA DEL PACIFICO S.R.L.
3580,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00309FPP,Retiro,GUILLERMO LI S.A.C.
3581,FENIX POWER PERÚ,HUALLANCA 138,CB00294FPP,Retiro,CONTONGA MINERIA S.A.C.
3582,FENIX POWER PERÚ,ZORRITOS 220,CB00281FPP,Retiro,COELVISAC
3583,FENIX POWER PERÚ,GUADALUPE 60,CB00277FPP,Retiro,COELVISAC
3584,FENIX POWER PERÚ,LA NIÑA 220,CL00151FPP,Retiro,ELECTRONOROESTE S.A.
3585,FENIX POWER PERÚ,SAN JUAN 220,CB00314FPP,Retiro,INDUSTRIAL EL SOL S.A.C.
3586,EGESUR,SOCABAYA 138,CB00076EGS,Retiro,ELECTROSUR S.A.
3587,EGESUR,MOQUEGUA 138,CB00075EGS,Retiro,ELECTROSUR S.A.
3588,EGESUR,TOQUEPALA 138,CB00077EGS,Retiro,ELECTROSUR S.A.
3589,EGESUR,ARICOTA66,CB00072EGS,Retiro,ELECTROSUR S.A.
3590,EGESUR,LOS HEROES 66,CB00074EGS,Retiro,ELECTROSUR S.A.
3591,EGESUR,ILO ELP 138,CB00073EGS,Retiro,ELECTROSUR S.A.
3592,ENEL GENERACION PERU S.A.A.,ALTO PRADERAS 220kV,CB00421EPE,Retiro,MEGAPACK GROUP SOCIEDAD ANONIMA CERRADA
3593,FENIX POWER PERÚ,SANTA ROSA 220,CB00376FPP,Retiro,COMPAÑIA PERUANA DE RADIODIFUSION S.A.
3594,FENIX POWER PERÚ,INDUSTRIALES 220,CB00377FPP,Retiro,CONSTRUCTORA EL ROBLE S.A.C.
3595,FENIX POWER PERÚ,INDUSTRIALES 220,CB00378FPP,Retiro,CONSTRUCTORA EL ROBLE S.A.C.
3596,FENIX POWER PERÚ,CHILCA REP 220,CB00379FPP,Retiro,FIBRAFIL S.A.
3597,FENIX POWER PERÚ,SANTA ROSA 220,CB00380FPP,Retiro,GASOCENTRO & AUTOSERVICIOS REAL S.A.C.
3598,FENIX POWER PERÚ,INDUSTRIALES 220,CB00381FPP,Retiro,HERSIL S.A. LAB. IND.FARMAC.
3599,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00386FPP,Retiro,INMOBIDEAS S.A.C.
3600,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00382FPP,Retiro,INMOBIDEAS S.A.C.
3601,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00383FPP,Retiro,INMOBIDEAS S.A.C.
3602,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00384FPP,Retiro,INMOBIDEAS S.A.C.
3603,FENIX POWER PERÚ,ALTO PRADERAS 220kV,CB00385FPP,Retiro,INMOBIDEAS S.A.C.
3604,FENIX POWER PERÚ,INDUSTRIALES 220,CB00387FPP,Retiro,INMOBIDEAS S.A.C.
3605,FENIX POWER PERÚ,LOS HEROES 66,CB00388FPP,Retiro,LADRILLERA MAXX
3606,FENIX POWER PERÚ,INDUSTRIALES 220,CB00397FPP,Retiro,PACIFICO COMPAÑIA DE SEGUROS Y REASEGUROS
3607,FENIX POWER PERÚ,INDUSTRIALES 220,CB00398FPP,Retiro,QUAD/GRAPHICS PERU S.A.
3608,FENIX POWER PERÚ,INDUSTRIALES 220,CB00399FPP,Retiro,QUAD/GRAPHICS PERU S.A.
3609,FENIX POWER PERÚ,INDUSTRIALES 220,CB00400FPP,Retiro,QUAD/GRAPHICS PERU S.A.
3610,FENIX POWER PERÚ,SANTA ROSA 220,CB00391FPP,Retiro,LAIVE S.A
3611,FENIX POWER PERÚ,SANTA ROSA 220,CB00392FPP,Retiro,LAIVE S.A
3612,FENIX POWER PERÚ,SOCABAYA 138,CB00396FPP,Retiro,LAIVE S.A
3613,FENIX POWER PERÚ,INDUSTRIALES 220,CB00402FPP,Retiro,SCOTIABANK PERU S.A.A.
3614,FENIX POWER PERÚ,SAN JUAN 220,CB00393FPP,Retiro,UPC
3615,LA VIRGEN,TOCACHE 138,CB00008ADP,Retiro,INDUSTRIAS DEL ESPINO S.A.
3616,CELEPSA,CHICLAYO 220,CB00187CLP,Retiro,ENEL DISTRIBUCION PERU
3617,CELEPSA,PLANICIE220,CB00188CLP,Retiro,ENEL DISTRIBUCION PERU
3618,ATRIA ENERGIA S.A.C.,CHIMBOTE1 220,CB00795HSR,Retiro,DON FERNANDO SAC
3619,ATRIA ENERGIA S.A.C.,SANTA ROSA 220,CB00797HSR,Retiro,GRUPO ISAMISA S.A.C.
3620,ATRIA ENERGIA S.A.C.,ICA 220,CB00798HSR,Retiro,ICA FRUTA S.A.
3621,ATRIA ENERGIA S.A.C.,VENTANILLA 220,CB00799HSR,Retiro,R & G SEGURIDAD E HIGIENE INDUSTRIAL S.A.C.
3622,FENIX POWER PERÚ,ZORRITOS 220,CB00403FPP,Retiro,CORPORACIÓN ELÉCTRICA DEL ECUADOR CELEC EP
3623,SDF ENERGIA,CHICLAYO 220,CB00039SDF,Retiro,ENEL DISTRIBUCION PERU
3624,SDF ENERGIA,PLANICIE220,CB00040SDF,Retiro,ENEL DISTRIBUCION PERU
3625,EGEMSA,YAUPI138,CB00282EGM,Retiro,ELECTRO PANGOA S.A.
3626,EGEMSA,PIURA OESTE 220,CB00263EGM,Retiro,AGROLMOS
3627,EGEMSA,PIURA OESTE 220,CB00276EGM,Retiro,COELVISAC
3628,EGEMSA,PIURA OESTE 220,CB00275EGM,Retiro,COELVISAC
3629,EGEMSA,PIURA OESTE 220,CB00277EGM,Retiro,COELVISAC
3630,EGEMSA,BELAUNDE 138,CB00264EGM,Retiro,COELVISAC
3631,EGEMSA,INDEPENDENCIA 220,CB00272EGM,Retiro,COELVISAC
3632,EGEMSA,CHICLAYO 220,CB00265EGM,Retiro,COELVISAC
3633,EGEMSA,CHICLAYO 220,CB00269EGM,Retiro,COELVISAC
3634,EGEMSA,CHICLAYO 220,CB00266EGM,Retiro,COELVISAC
3635,EGEMSA,CHICLAYO 220,CB00268EGM,Retiro,COELVISAC
3636,EGEMSA,CHICLAYO 220,CB00267EGM,Retiro,COELVISAC
3637,EGEMSA,PIURA OESTE 220,CB00274EGM,Retiro,COELVISAC
3638,EGEMSA,CHIMBOTE1 138,CB00270EGM,Retiro,COELVISAC
3639,EGEMSA,PIURA OESTE 220,CB00278EGM,Retiro,COELVISAC
3640,EGEMSA,MARCONA 220,CB00273EGM,Retiro,COELVISAC
3641,EGEMSA,TRUJILLO 220,CB00279EGM,Retiro,COELVISAC
3642,EGEMSA,TRUJILLO 220,CB00280EGM,Retiro,COELVISAC
3643,EGEMSA,ZORRITOS 220,CB00281EGM,Retiro,COELVISAC
3644,EGEMSA,INDEPENDENCIA 220,CB00271EGM,Retiro,COELVISAC
3645,EGEMSA,SOCABAYA 220,CB00284EGM,Retiro,MINERA CERRO VERDE
3646,EGEMSA,LA NIÑA 220,CB00283EGM,Retiro,ELECTRONOROESTE S.A.
3647,KALLPA GENERACION S.A.,PIURA OESTE 220,CB00962KLL,Retiro,TURISMO COSTA DEL SOL SA
3648,KALLPA GENERACION S.A.,ZORRITOS 220,CB00938KLL,Retiro,COSTA DEL SOL S A
