,Contrato,Usuario Libre,Suministrador,Fecha de Suscripción,Fecha de Finalización,Precio Base,Precio FP,Rango de duración,Potencia_HP,Potencia_HFP,BRG,Precio de Potencia,Consistencia,Link,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
4617,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,1.45,1.45,,,0,,,,,
4618,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,1.2,1.2,,,0,,,,,
4619,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,0.682,0.682,,,0,,,,,
4620,,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,Kallpa,2022-01-01 00:00:00,2024-12-31 00:00:00,25,25,3.0,1.5,1.5,,,0,,,,,
4621,,AGRICOLA ISPANA S.A.C.,Coelvisac,2018-01-12 00:00:00,2021-10-31 00:00:00,12.01,12.01,3.802739726027397,1,1.6,,,0,,,,,
4622,,SOCIEDAD AGRICOLA 3P S.A.C.,Coelvisac,2018-01-12 00:00:00,2021-12-31 00:00:00,12.51,12.51,3.96986301369863,0.6,0.6,,,0,,,,,
4623,,CULTIVOS ECOLOGICOS DEL PERU S.A.C.,Coelvisac,2019-01-01 00:00:00,2023-12-31 00:00:00,11.4,11.4,5.0,0.3,0.3,,,0,,,,,
4624,,PLASTICOS ICA S.A.C.,Coelvisac,2019-01-01 00:00:00,2021-12-31 00:00:00,13.54,13.54,3.0,2.5,2.5,,,0,,,,,
4625,,AGRICOLA CHALLAPAMPA S.A.C.,Coelvisac,2019-01-01 00:00:00,2022-12-31 00:00:00,12.05,12.05,4.0,0.4,0.4,,,0,,,,,
4626,,CORPORACIÓN AGRICOLA MILAGRITOS S.A.C.,Coelvisac,2019-01-01 00:00:00,2022-12-31 00:00:00,12.05,12.05,4.0,0.4,0.4,,,0,,,,,
4627,,BUENA VISTA S.A.C.,Coelvisac,2019-01-01 00:00:00,2023-12-31 00:00:00,12.72,12.72,5.0,0.5,0.5,,,0,,,,,
4628,,AGRICOLA PAMPA BAJA S.A.C.,Coelvisac,2019-01-01 00:00:00,2023-12-31 00:00:00,11.96,11.96,5.0,0.25,0.3,,,0,,,,,
4629,,TEXTILE SOURCING COMPANY S.A.C.,Coelvisac,2019-01-01 00:00:00,2022-12-31 00:00:00,11.17,11.17,4.0,0.3,0.3,,,0,,,,,
4630,,TRAPANI CULTIVARES PERU S.A.C.,Coelvisac,2019-01-02 00:00:00,2023-12-31 00:00:00,14.09,14.09,4.997260273972603,0.8,1.3,,,0,,,,,
